Sensitive attribute,Group_A,Group_B,AvsB_Independence,AvsB_SPD
Gender,F,N/A,inf,0.3413173652694611
Gender,F,M,0.6215962236111718,-0.20778083112332446
Gender,N/A,M,0.0,-0.5490981963927856
Work authorization,0,1,0.9257268365990405,-0.02286070094289272
Disability,0.0,N/A,1.237090909090909,0.0609801720912832
Disability,0.0,1.0,1.0165809033733562,0.005189692197566209
Disability,N/A,1.0,0.8217511711571809,-0.05579047989371699
Ethnicity,4,2,0.842013888888889,-0.05211912943871705
Ethnicity,4,1,0.8672839506172839,-0.04250691973111903
Ethnicity,4,3,0.9705882352941178,-0.00841750841750838
Ethnicity,4,0,1.0152116402116402,0.004162142598624685
Ethnicity,2,1,1.0300114547537227,0.009612209707598018
Ethnicity,2,3,1.1526986052152821,0.04370162102120867
Ethnicity,2,0,1.205694648993618,0.056281272037341734
Ethnicity,1,3,1.1191124136487336,0.03408941131361065
Ethnicity,1,0,1.1705643111337063,0.046669062329743716
Ethnicity,3,0,1.0459756293089626,0.012579651016133064
